ERROR 2025-11-04 16:17:19,769 user_events Connection error: 
INFO 2025-11-04 16:17:20,990 django.utils.autoreload Watching for file changes with StatReloader
ERROR 2025-11-04 16:17:24,789 user_events Connection error: 
INFO 2025-11-04 16:17:29,169 django.server "GET /openapi.json HTTP/1.1" 200 3587
ERROR 2025-11-04 16:17:29,814 user_events Connection error: 
ERROR 2025-11-04 16:17:34,825 user_events Connection error: 
ERROR 2025-11-04 16:17:39,834 user_events Connection error: 
ERROR 2025-11-04 16:17:44,865 user_events Connection error: 
INFO 2025-11-04 16:17:50,017 user_events User service listening for shop.approved events…
INFO 2025-11-04 16:18:15,364 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 16:19:02,312 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 16:19:48,723 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 16:20:35,215 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 16:21:21,830 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 16:22:08,240 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 16:22:54,706 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 16:23:41,088 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 16:24:27,546 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 16:25:13,946 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 16:26:00,414 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 16:26:46,921 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 16:27:33,346 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 16:28:19,890 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 16:29:06,422 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 16:29:52,996 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 16:30:39,581 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 16:31:26,591 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 16:32:14,175 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 16:33:00,548 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 16:33:47,046 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 16:34:33,520 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 16:35:20,002 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 16:36:06,700 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 16:36:53,098 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 16:37:39,602 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 16:38:26,715 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 16:39:12,622 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 16:39:59,803 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 16:40:46,290 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 16:41:32,748 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 16:42:19,686 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 16:43:06,020 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 16:43:52,803 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 16:44:39,553 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 16:45:25,926 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 16:46:12,596 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 16:46:59,516 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 16:47:46,083 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 16:48:32,509 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 16:49:19,144 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 16:50:05,643 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 16:50:52,313 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 16:51:38,874 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 16:52:25,681 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 16:53:12,517 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 16:53:59,204 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 16:54:46,486 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 16:55:32,845 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 16:56:19,442 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 16:57:06,196 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 16:57:53,228 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 16:58:39,838 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 16:59:26,288 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:00:12,719 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:00:59,706 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:01:46,666 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:02:33,091 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:03:19,553 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:04:06,064 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:04:52,575 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:05:39,503 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:06:25,983 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:07:12,967 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:07:59,382 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:08:45,961 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:09:32,412 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:10:18,879 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:11:05,497 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:11:51,931 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:12:38,432 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:13:25,501 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:14:11,961 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:14:58,454 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:15:44,926 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:16:31,382 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:17:18,701 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:18:05,149 django.server "GET /openapi.json HTTP/1.1" 200 3587
INFO 2025-11-04 17:18:51,645 django.server "GET /openapi.json HTTP/1.1" 200 3587
